loss,accuracy,val_loss,val_accuracy
3.640235424,0.28683576,1.388023496,0.361111104
1.384295225,0.401570052,1.187374115,0.569444418
1.639347434,0.303743958,1.453345418,0.333333343
1.411574841,0.376811594,1.296078801,0.388888896
1.319658399,0.407004833,1.272920489,0.347222209
1.33275795,0.396739125,1.306961536,0.361111104
1.301811576,0.394323677,1.286736608,0.402777791
1.268038392,0.402173907,1.145344496,0.416666657
1.246669173,0.428140104,1.179623723,0.5
1.236109138,0.431763291,1.229486585,0.444444448
1.252949476,0.422101438,1.084162951,0.472222209
1.194758654,0.446256042,1.070610404,0.555555582
1.916760325,0.416062802,1.219142914,0.416666657
1.826787353,0.432971001,1.063338161,0.486111104
1.159707069,0.50664252,0.972893715,0.583333313
1.728503585,0.347222209,1.103149295,0.555555582
1.309417844,0.410024166,1.088023543,0.541666687
1.159591794,0.509661853,1.067262292,0.486111104
1.18916893,0.45531401,1.116165161,0.444444448
1.153884768,0.495169073,1.101125002,0.486111104
1.096872211,0.537439585,0.921483994,0.625
1.059687734,0.548913062,0.897682726,0.638888896
1.001502752,0.579106271,0.776097953,0.708333313
1.013964534,0.554951668,1.235016465,0.486111104
0.978371203,0.600845397,0.832520247,0.666666687
0.980370879,0.586352646,0.671327829,0.791666687
0.950453401,0.593599021,0.69331342,0.680555582
0.887929559,0.632246375,0.662049949,0.75
0.85018456,0.632246375,0.641207755,0.763888896
0.815140724,0.653381646,0.623488724,0.75
0.793058932,0.672705293,0.631783724,0.763888896
0.735791206,0.710748792,0.775416732,0.666666687
0.715057611,0.724637687,0.70923084,0.694444418
0.707815886,0.731280208,0.616206467,0.763888896
0.663350105,0.745169103,0.62282294,0.763888896
0.598134458,0.778381646,0.998137593,0.569444418
0.571260929,0.770531416,0.463225842,0.763888896
0.49971053,0.807971001,0.421259642,0.847222209
0.387394667,0.846618354,0.313944876,0.861111104
0.369105905,0.862318814,0.42840755,0.833333313
0.496636391,0.806763291,0.93340373,0.652777791
0.550616562,0.781400979,0.481305182,0.777777791
0.477308214,0.804951668,0.58576858,0.763888896
0.42896083,0.833937228,0.427123487,0.819444418
0.370721489,0.850845397,0.365435272,0.833333313
0.368435293,0.853260875,0.352545112,0.861111104
0.346028239,0.859903395,0.315232992,0.847222209
0.325199008,0.86714977,0.364442497,0.819444418
0.380272061,0.849637687,0.468039572,0.819444418
0.291515857,0.890096605,0.395981371,0.819444418
0.294906408,0.888888896,0.293989867,0.888888896
0.328487575,0.863526583,0.259592652,0.875
0.292100757,0.888285041,0.288622767,0.861111104
0.280797035,0.892512083,0.306933045,0.847222209
0.288557708,0.881038666,0.477064937,0.819444418
0.270062536,0.895531416,0.319767565,0.833333313
0.244793028,0.905797124,0.207946837,0.930555582
0.269494712,0.882246375,0.249635801,0.902777791
0.248657167,0.902173936,0.242829323,0.888888896
0.270939708,0.885869563,0.229976729,0.902777791
0.238593638,0.9039855,0.238703221,0.916666687
0.27380538,0.893115938,0.406285584,0.819444418
0.218138278,0.91183573,0.471228719,0.819444418
0.273906827,0.888888896,0.38345924,0.833333313
0.239339352,0.903381646,0.394439459,0.833333313
0.19097884,0.92632848,0.270825773,0.902777791
0.251667142,0.896739125,0.418728739,0.819444418
0.222482666,0.910024166,0.204146504,0.888888896
0.191597372,0.925724626,0.366129994,0.847222209
0.205499977,0.925724626,0.191293404,0.930555582
0.335524738,0.873188376,0.415680259,0.833333313
0.311802596,0.881038666,0.284599781,0.875
0.319151431,0.871980667,0.426767707,0.847222209
0.212518886,0.910628021,0.176241264,0.930555582
0.191206321,0.923913062,0.190798879,0.930555582
0.214740515,0.921497583,0.421462357,0.791666687
0.185419336,0.932971001,0.210845158,0.930555582
0.169132158,0.939009666,0.161576509,0.958333313
0.160219103,0.942632854,0.1781362,0.944444418
0.260133356,0.899758458,0.206714466,0.902777791
0.190594241,0.930555582,0.110881001,0.972222209
0.146403402,0.944444418,0.179621264,0.902777791
0.131660432,0.956521749,0.174939573,0.972222209
0.162105039,0.94082123,0.18205899,0.930555582
0.139023557,0.946859896,0.189200953,0.930555582
0.131364062,0.949275374,0.101043053,0.958333313
0.121660478,0.960748792,0.140119344,0.958333313
0.137531459,0.954106271,0.102478676,0.972222209
0.180834398,0.924516916,0.209768832,0.902777791
0.17342104,0.939009666,0.18517375,0.944444418
0.195211276,0.928743958,0.306536227,0.888888896
0.157523945,0.951690793,0.179126099,0.958333313
0.107510164,0.964371979,0.126750559,0.958333313
0.121758856,0.960748792,0.148131803,0.958333313
0.115716442,0.963768125,0.403757691,0.847222209
0.1192986,0.955313981,0.208242536,0.930555582
0.141606688,0.949879229,0.091473565,0.986111104
0.161214381,0.94082123,0.127366528,0.972222209
0.090018988,0.966787457,0.054864109,0.986111104
0.1107627,0.961956501,0.118172593,0.972222209
